Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23,38.520000,39.900002,38.520000,39.080002,39.080002,485900
2021-06-24,39.419998,40.910000,39.419998,40.599998,40.599998,626700
2021-06-25,40.639999,42.490002,40.224998,42.000000,42.000000,3501000
2021-06-28,43.470001,43.840000,41.509998,41.930000,41.930000,813300
2021-06-29,41.730000,43.480000,41.220001,41.279999,41.279999,888000
2021-06-30,41.250000,41.250000,39.540001,39.980000,39.980000,827400
2021-07-01,40.369999,40.680000,38.950001,40.040001,40.040001,433200
2021-07-02,40.389999,40.500000,39.040001,39.500000,39.500000,606400
2021-07-06,39.779999,40.549999,39.060001,39.990002,39.990002,557900
2021-07-07,40.099998,40.220001,38.200001,38.200001,38.200001,431500
2021-07-08,36.869999,38.825001,36.299999,37.900002,37.900002,824200
2021-07-09,38.130001,38.340000,37.430000,37.970001,37.970001,547500
2021-07-12,38.090000,39.525002,38.049999,39.400002,39.400002,931500
2021-07-13,38.830002,39.389999,37.990002,38.599998,38.599998,583400
2021-07-14,38.900002,39.590000,35.279999,35.619999,35.619999,606900
2021-07-15,35.660000,37.400002,35.103001,36.740002,36.740002,813500
2021-07-16,37.279999,38.189999,36.520000,38.130001,38.130001,809600
2021-07-19,37.000000,37.500000,35.790001,36.590000,36.590000,479200
2021-07-20,36.830002,38.605000,36.529999,38.400002,38.400002,788500
2021-07-21,38.680000,39.055000,37.090000,38.889999,38.889999,362700
2021-07-22,38.930000,39.349998,38.090000,38.270000,38.270000,319500
2021-07-23,38.360001,39.349998,36.730000,39.250000,39.250000,657100
2021-07-26,39.380001,39.380001,37.080002,37.470001,37.470001,379200
2021-07-27,37.349998,37.695000,35.700001,37.200001,37.200001,438200
2021-07-28,37.400002,39.709999,37.389999,39.450001,39.450001,634100
2021-07-29,39.480000,40.020000,38.580002,39.230000,39.230000,693500
2021-07-30,41.000000,44.639999,41.000000,44.560001,44.560001,1247000
2021-08-02,44.650002,44.919998,42.348000,43.939999,43.939999,706000
2021-08-03,44.020000,45.290001,43.009998,44.599998,44.599998,620400
2021-08-04,44.290001,46.439999,44.189999,46.340000,46.340000,565400
2021-08-05,46.580002,47.950001,45.580002,47.840000,47.840000,552900
2021-08-06,48.009998,48.009998,46.180000,46.970001,46.970001,518300
2021-08-09,46.970001,48.500000,46.240002,46.869999,46.869999,546400
2021-08-10,48.090000,48.090000,43.410000,43.810001,43.810001,438300
2021-08-11,43.480000,43.700001,41.919998,42.990002,42.990002,734000
2021-08-12,43.160000,43.270000,42.349998,42.520000,42.520000,404300
2021-08-13,42.450001,42.560001,40.529999,40.549999,40.549999,364500
2021-08-16,40.419998,40.419998,38.500000,38.770000,38.770000,720900
2021-08-17,38.090000,38.410000,37.040001,38.099998,38.099998,468500
2021-08-18,38.279999,38.660000,37.020000,37.040001,37.040001,492600
2021-08-19,36.270000,38.060001,36.200001,37.070000,37.070000,315500
2021-08-20,37.560001,39.340000,36.889999,39.029999,39.029999,897700
2021-08-23,39.500000,40.610001,39.299999,40.259998,40.259998,709700
2021-08-24,40.310001,42.430000,40.224998,42.020000,42.020000,445300
2021-08-25,41.660000,44.590000,41.020000,44.389999,44.389999,1178200
2021-08-26,44.520000,45.200001,42.830002,44.360001,44.360001,881800
2021-08-27,44.590000,47.799999,44.410000,47.720001,47.720001,794600
2021-08-30,47.919998,49.389999,47.369999,48.709999,48.709999,696800
2021-08-31,48.830002,48.970001,46.549999,48.110001,48.110001,1076600
2021-09-01,48.560001,51.840000,48.259998,51.639999,51.639999,676200
2021-09-02,52.029999,53.299999,50.750000,52.970001,52.970001,866600
2021-09-03,52.560001,52.880001,50.709999,51.259998,51.259998,670500
2021-09-07,51.200001,51.709999,49.830002,51.060001,51.060001,631700
2021-09-08,50.529999,51.490002,49.380001,49.840000,49.840000,486600
2021-09-09,49.470001,51.029999,49.349998,49.369999,49.369999,387600
2021-09-10,49.419998,50.150002,48.599998,48.660000,48.660000,524000
2021-09-13,48.980000,49.040001,46.660000,48.240002,48.240002,545400
2021-09-14,48.540001,49.900002,46.678001,46.910000,46.910000,549000
2021-09-15,46.639999,46.950001,44.750000,46.720001,46.720001,545400
2021-09-16,46.450001,46.930000,45.009998,46.810001,46.810001,294900
2021-09-17,47.189999,51.790001,46.805000,51.200001,51.200001,1261900
2021-09-20,49.310001,50.073002,47.570000,48.189999,48.189999,473400
2021-09-21,48.430000,50.290001,48.410000,49.169998,49.169998,365600
2021-09-22,49.590000,50.959999,49.150002,50.610001,50.610001,274300
2021-09-23,51.169998,52.139999,50.500000,52.040001,52.040001,301000
2021-09-24,51.099998,52.029999,48.439999,48.880001,48.880001,415200
2021-09-27,49.209999,49.209999,47.000000,47.680000,47.680000,394400
2021-09-28,46.790001,47.680000,46.060001,46.419998,46.419998,503700
2021-09-29,46.950001,47.669998,44.970001,45.240002,45.240002,460400
2021-09-30,45.900002,48.490002,45.750000,46.450001,46.450001,551600
2021-10-01,46.099998,47.529999,45.259998,46.680000,46.680000,446900
2021-10-04,46.439999,46.840000,42.529999,43.200001,43.200001,523400
2021-10-05,43.520000,45.720001,43.209999,44.349998,44.349998,415300
2021-10-06,43.990002,44.810001,42.590000,43.540001,43.540001,355200
2021-10-07,43.860001,44.980000,43.759998,43.889999,43.889999,358000
2021-10-08,44.560001,44.990002,41.119999,41.529999,41.529999,299200
2021-10-11,41.290001,42.680000,40.509998,41.549999,41.549999,195700
2021-10-12,42.470001,43.830002,42.070000,43.230000,43.230000,327300
2021-10-13,43.119999,44.009998,42.764999,43.849998,43.849998,280300
2021-10-14,44.790001,46.470001,44.669998,45.099998,45.099998,278800
2021-10-15,45.930000,45.930000,44.820000,45.160000,45.160000,352600
2021-10-18,44.770000,45.669998,44.180000,45.150002,45.150002,269800
2021-10-19,45.270000,47.590000,45.270000,46.830002,46.830002,372300
2021-10-20,46.630001,46.900002,45.889999,46.450001,46.450001,198400
2021-10-21,46.619999,47.700001,46.139999,46.529999,46.529999,211300
2021-10-22,46.490002,47.349998,45.660000,46.400002,46.400002,218700
2021-10-25,46.220001,46.939999,45.000000,45.910000,45.910000,238200
2021-10-26,46.330002,46.790001,45.020000,46.360001,46.360001,349500
2021-10-27,45.849998,46.643002,45.070000,45.369999,45.369999,606200
2021-10-28,45.590000,49.529999,45.320000,49.250000,49.250000,467500
2021-10-29,49.240002,50.259998,47.599998,47.880001,47.880001,499600
2021-11-01,47.869999,51.970001,47.480000,51.799999,51.799999,471000
2021-11-02,51.950001,53.020000,50.090000,52.529999,52.529999,428400
2021-11-03,52.529999,53.880001,51.470001,53.790001,53.790001,413000
2021-11-04,53.939999,54.130001,51.959999,52.500000,52.500000,432000
2021-11-05,52.279999,52.389999,49.009998,49.959999,49.959999,441100
2021-11-08,50.430000,51.799999,50.040001,50.790001,50.790001,608300
2021-11-09,50.810001,51.430000,48.950001,50.090000,50.090000,608400
2021-11-10,50.540001,51.959999,45.900002,45.980000,45.980000,809700
2021-11-11,46.340000,48.060001,46.340000,47.000000,47.000000,394200
2021-11-12,47.000000,48.369999,45.959999,48.150002,48.150002,755800
2021-11-15,48.480000,48.580002,45.939999,46.450001,46.450001,376200
2021-11-16,46.380001,47.285000,45.380001,46.930000,46.930000,415500
2021-11-17,47.009998,47.009998,44.130001,45.590000,45.590000,554200
2021-11-18,46.709999,46.709999,43.860001,45.470001,45.470001,537800
2021-11-19,47.310001,49.680000,45.595001,49.299999,49.299999,1298300
2021-11-22,49.459999,49.799999,45.000000,45.169998,45.169998,734900
2021-11-23,44.619999,46.544998,41.119999,42.450001,42.450001,849000
2021-11-24,41.459999,42.580002,40.439999,42.209999,42.209999,498600
2021-11-26,41.779999,43.389999,40.709999,41.560001,41.560001,363300
2021-11-29,42.279999,42.990002,40.119999,41.450001,41.450001,623100
2021-11-30,41.209999,43.139999,39.950001,41.480000,41.480000,786400
2021-12-01,42.310001,42.310001,37.849998,37.919998,37.919998,674400
2021-12-02,37.889999,40.110001,37.160000,39.220001,39.220001,740400
2021-12-03,39.290001,41.070000,35.599998,36.090000,36.090000,928500
2021-12-06,36.049999,37.810001,34.209999,37.599998,37.599998,794300
2021-12-07,39.080002,42.310001,39.080002,41.200001,41.200001,696600
2021-12-08,41.139999,42.830002,38.669998,42.220001,42.220001,386400
2021-12-09,41.669998,41.900002,39.380001,39.419998,39.419998,466900
2021-12-10,40.020000,41.340000,38.744999,39.220001,39.220001,462300
2021-12-13,39.240002,41.285000,38.410000,40.419998,40.419998,601600
2021-12-14,39.299999,40.529999,38.310001,39.709999,39.709999,701800
2021-12-15,39.700001,42.750000,39.410000,42.500000,42.500000,724900
2021-12-16,43.070000,43.070000,38.279999,38.720001,38.720001,932200
2021-12-17,38.790001,45.580002,38.349998,44.990002,44.990002,1660200
2021-12-20,43.759998,43.825001,40.849998,41.070000,41.070000,1070900
2021-12-21,41.980000,43.509998,40.310001,43.299999,43.299999,453000
2021-12-22,43.459999,45.340000,42.459999,43.619999,43.619999,457700
2021-12-23,43.389999,43.430000,39.900002,40.490002,40.490002,622800
2021-12-27,40.419998,40.705002,38.619999,40.119999,40.119999,499400
2021-12-28,40.320000,41.990002,38.990002,39.049999,39.049999,424800
2021-12-29,39.090000,39.978001,38.200001,39.060001,39.060001,377200
2021-12-30,39.700001,42.189999,38.930000,41.450001,41.450001,495900
2021-12-31,42.160000,42.810001,40.910000,41.200001,41.200001,412300
2022-01-03,41.430000,42.950001,40.020000,42.509998,42.509998,565400
2022-01-04,42.430000,42.430000,36.445000,37.730000,37.730000,773400
2022-01-05,37.110001,37.590000,34.880001,34.910000,34.910000,797700
2022-01-06,34.540001,36.060001,32.880001,35.119999,35.119999,725600
2022-01-07,35.150002,37.779999,33.200001,33.580002,33.580002,627100
2022-01-10,32.759998,34.099998,31.410000,33.980000,33.980000,796000
2022-01-11,33.950001,34.240002,31.990000,33.570000,33.570000,696000
2022-01-12,34.090000,35.349998,31.934999,32.020000,32.020000,836100
2022-01-13,32.279999,32.459999,29.270000,29.469999,29.469999,1041800
2022-01-14,29.379999,30.790001,28.420000,30.340000,30.340000,857900
2022-01-18,29.320000,30.370001,27.670000,27.790001,27.790001,722700
2022-01-19,27.889999,29.900000,27.139999,27.219999,27.219999,824100
2022-01-20,27.860001,30.690001,27.540001,27.670000,27.670000,950900
2022-01-21,26.940001,29.000000,26.920000,26.959999,26.959999,1136600
2022-01-24,26.150000,29.040001,24.181999,28.920000,28.920000,1449200
2022-01-25,27.690001,29.549999,25.740000,27.559999,27.559999,1153700
2022-01-26,28.590000,30.549999,26.620001,27.059999,27.059999,1033600
2022-01-27,27.540001,28.620001,25.520000,25.559999,25.559999,752900
2022-01-28,25.600000,27.080000,23.980000,27.080000,27.080000,1043300
2022-01-31,27.280001,30.540001,27.280001,30.410000,30.410000,1178100
2022-02-01,31.049999,31.709999,28.730000,31.240000,31.240000,823800
2022-02-02,31.120001,31.504999,28.940001,29.639999,29.639999,652800
2022-02-03,28.330000,29.639999,27.459999,27.709999,27.709999,814400
2022-02-04,27.680000,29.209999,26.680000,28.660000,28.660000,841800
2022-02-07,28.820000,31.100000,28.610001,30.139999,30.139999,1100400
2022-02-08,29.750000,30.715000,29.080000,30.100000,30.100000,482900
2022-02-09,31.030001,32.770000,30.719999,32.470001,32.470001,692100
2022-02-10,30.719999,33.230000,30.070000,30.830000,30.830000,777300
2022-02-11,31.000000,32.555000,29.480000,29.940001,29.940001,599800
2022-02-14,29.809999,31.420000,29.170000,29.389999,29.389999,640500
2022-02-15,30.070000,31.540001,29.809999,31.200001,31.200001,699800
2022-02-16,30.379999,30.570000,29.100000,29.870001,29.870001,543700
